Match_ID,Match_Day,Date,Time,Home_Team,Score_Home,Away_Team,Score_Away
929331,2,Unknown Date,12:00 AM,Arsenal,2,Norwich,4
929332,2,Unknown Date,12:00 AM,Chelsea,1,Oldham Athletic,1
929333,2,Unknown Date,12:00 AM,Coventry,2,Middlesbrough,1
929334,2,Unknown Date,12:00 AM,Crystal Palace,3,Blackburn,3
929335,2,Unknown Date,12:00 AM,Everton,1,Sheff Wed,1
929336,2,Unknown Date,12:00 AM,Ipswich,1,Aston Villa,1
929337,2,Unknown Date,12:00 AM,Leeds,2,Wimbledon FC,1
929338,2,Unknown Date,12:00 AM,Sheff Utd,2,Man Utd,1
929339,2,Unknown Date,12:00 AM,Southampton,0,Tottenham,0
929340,2,Unknown Date,12:00 AM,Nottm Forest,1,Liverpool,0
929341,2,Unknown Date,12:00 AM,Man City,1,QPR,1
929342,3,Unknown Date,12:00 AM,Blackburn,1,Arsenal,0
929343,3,Unknown Date,12:00 AM,Wimbledon FC,0,Ipswich,1
929344,3,Unknown Date,12:00 AM,Aston Villa,1,Leeds,1
929345,3,Unknown Date,12:00 AM,Liverpool,2,Sheff Utd,1
929346,3,Unknown Date,12:00 AM,Man Utd,0,Everton,3
929347,3,Unknown Date,12:00 AM,Middlesbrough,2,Man City,0
929348,3,Unknown Date,12:00 AM,Norwich,2,Chelsea,1
929349,3,Unknown Date,12:00 AM,Oldham Athletic,1,Crystal Palace,1
929350,3,Unknown Date,12:00 AM,QPR,3,Southampton,1
929351,3,Unknown Date,12:00 AM,Sheff Wed,2,Nottm Forest,0
929352,3,Unknown Date,12:00 AM,Tottenham,0,Coventry,2
929353,4,Unknown Date,12:00 AM,Aston Villa,1,Southampton,1
929354,4,Unknown Date,12:00 AM,Blackburn,1,Man City,0
929355,4,Unknown Date,12:00 AM,Man Utd,1,Ipswich,1
929356,4,Unknown Date,12:00 AM,Middlesbrough,4,Leeds,1
929357,4,Unknown Date,12:00 AM,Norwich,1,Everton,1
929358,4,Unknown Date,12:00 AM,Oldham Athletic,5,Nottm Forest,3
929359,4,Unknown Date,12:00 AM,QPR,3,Sheff Utd,2
929360,4,Unknown Date,12:00 AM,Sheff Wed,3,Chelsea,3
929361,4,Unknown Date,12:00 AM,Tottenham,2,Crystal Palace,2
929362,4,Unknown Date,12:00 AM,Wimbledon FC,1,Coventry,2
929363,4,Unknown Date,12:00 AM,Liverpool,0,Arsenal,2
929364,5,Unknown Date,12:00 AM,Southampton,0,Man Utd,1
929365,5,Unknown Date,12:00 AM,Sheff Utd,2,Wimbledon FC,2
929366,5,Unknown Date,12:00 AM,Crystal Palace,1,Sheff Wed,1
929367,5,Unknown Date,12:00 AM,Everton,1,Aston Villa,0
929368,5,Unknown Date,12:00 AM,Ipswich,2,Liverpool,2
929369,5,Unknown Date,12:00 AM,Leeds,5,Tottenham,0
929370,5,Unknown Date,12:00 AM,Arsenal,2,Oldham Athletic,0
929371,5,Unknown Date,12:00 AM,Chelsea,0,Blackburn,0
929372,5,Unknown Date,12:00 AM,Coventry,0,QPR,1
929373,5,Unknown Date,12:00 AM,Man City,3,Norwich,1
929374,5,Unknown Date,12:00 AM,Nottm Forest,1,Middlesbrough,0
929375,6,Unknown Date,12:00 AM,Arsenal,2,Sheff Wed,1
929376,6,Unknown Date,12:00 AM,Chelsea,1,QPR,0
929377,6,Unknown Date,12:00 AM,Coventry,0,Blackburn,2
929378,6,Unknown Date,12:00 AM,Crystal Palace,1,Norwich,2
929379,6,Unknown Date,12:00 AM,Everton,0,Wimbledon FC,0
929380,6,Unknown Date,12:00 AM,Leeds,2,Liverpool,2
929381,6,Unknown Date,12:00 AM,Man City,3,Oldham Athletic,3
929382,6,Unknown Date,12:00 AM,Nottm Forest,0,Man Utd,2
929383,6,Unknown Date,12:00 AM,Sheff Utd,0,Aston Villa,2
929384,6,Unknown Date,12:00 AM,Southampton,2,Middlesbrough,1
929385,6,Unknown Date,12:00 AM,Ipswich,1,Tottenham,1
929386,7,Unknown Date,12:00 AM,Norwich,3,Nottm Forest,1
929387,7,Unknown Date,12:00 AM,Liverpool,1,Southampton,1
929388,7,Unknown Date,12:00 AM,Middlesbrough,2,Ipswich,2
929389,7,Unknown Date,12:00 AM,Oldham Athletic,2,Leeds,2
929390,7,Unknown Date,12:00 AM,Wimbledon FC,0,Man City,1
929391,7,Unknown Date,12:00 AM,Aston Villa,1,Chelsea,3
929392,7,Unknown Date,12:00 AM,Man Utd,1,Crystal Palace,0
929393,7,Unknown Date,12:00 AM,QPR,0,Arsenal,0
929394,7,Unknown Date,12:00 AM,Sheff Wed,1,Coventry,2
929395,7,Unknown Date,12:00 AM,Tottenham,2,Sheff Utd,0
929396,7,Unknown Date,12:00 AM,Blackburn,2,Everton,3
929397,8,Unknown Date,12:00 AM,Aston Villa,3,Crystal Palace,0
929398,8,Unknown Date,12:00 AM,Blackburn,4,Nottm Forest,1
929399,8,Unknown Date,12:00 AM,Liverpool,2,Chelsea,1
929400,8,Unknown Date,12:00 AM,Middlesbrough,2,Sheff Utd,0
929401,8,Unknown Date,12:00 AM,Norwich,1,Southampton,0
929402,8,Unknown Date,12:00 AM,Oldham Athletic,0,Coventry,1
929403,8,Unknown Date,12:00 AM,QPR,0,Ipswich,0
929404,8,Unknown Date,12:00 AM,Sheff Wed,0,Man City,3
929405,8,Unknown Date,12:00 AM,Tottenham,2,Everton,1
929406,8,Unknown Date,12:00 AM,Wimbledon FC,3,Arsenal,2
929407,8,Unknown Date,12:00 AM,Man Utd,2,Leeds,0
929408,9,Unknown Date,12:00 AM,Arsenal,0,Blackburn,1
929409,9,Unknown Date,12:00 AM,Chelsea,2,Norwich,3
929410,9,Unknown Date,12:00 AM,Crystal Palace,2,Oldham Athletic,2
929411,9,Unknown Date,12:00 AM,Everton,0,Man Utd,2
929412,9,Unknown Date,12:00 AM,Ipswich,2,Wimbledon FC,1
929413,9,Unknown Date,12:00 AM,Man City,0,Middlesbrough,1
929414,9,Unknown Date,12:00 AM,Nottm Forest,1,Sheff Wed,2
929415,9,Unknown Date,12:00 AM,Sheff Utd,1,Liverpool,0
929416,9,Unknown Date,12:00 AM,Southampton,1,QPR,2
929417,9,Unknown Date,12:00 AM,Leeds,1,Aston Villa,1
929418,9,Unknown Date,12:00 AM,Coventry,1,Tottenham,0
